rentree_scolaire;code_region;region;code_de_l_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;secteur;ips;ips_national_prive;ips_national_public;ips_national;ips_academique_prive;ips_academique_public;ips_academique;ips_departemental_prive;ips_departemental_public;ips_departemental;num_ligne;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62083;BARLIN;0623937T;public;73.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51738.0;Ecole primaire Dunant-Barbusse;Barlin;062;62083;Pas-de-Calais;Lille;50.45229909885737,2.601179365426613
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62705;RETY;0624147W;public;95.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51783.0;Groupe Scolaire La Restusienne;Rety;062;62705;Pas-de-Calais;Lille;50.812263440295474,1.7942001408854065
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62498;LENS;0624195Y;public;82.9;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51790.0;Ecole primaire Jules Verne;Lens;062;62498;Pas-de-Calais;Lille;50.44168576483769,2.8337102381732824
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59560;SECLIN;0595041J;public;76.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50028.0;Ecole élémentaire Adolphe Dutoit;Seclin;059;59560;Nord;Lille;50.54547273519895,3.031919915184074
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59009;VILLENEUVE D ASCQ;0595248J;public;100.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50060.0;Ecole élémentaire Paul Fort;Villeneuve-d'Ascq;059;59009;Nord;Lille;50.632373617222584,3.125380544659675
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59512;ROUBAIX;0595442V;public;63.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50072.0;Ecole primaire Elsa Triolet;Roubaix;059;59512;Nord;Lille;50.69665388914089,3.1715896652920517
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59491;RAISMES;0596113Z;public;79.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50128.0;Ecole élémentaire Irène Joliot-Curie;Raismes;059;59491;Nord;Lille;50.391689036960685,3.485389559855254
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59656;WERVICQ SUD;0596118E;privé sous contrat;117.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50133.0;Ecole primaire privée Saint Joseph;Wervicq-Sud;059;59656;Nord;Lille;50.77267802446471,3.0441401265737205
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59122;CAMBRAI;0596401M;public;78.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50169.0;Ecole primaire La Fontaine;Cambrai;059;59122;Nord;Lille;50.17047583217221,3.2304502077297905
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59016;ARMBOUTS CAPPEL;0596520S;public;106.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50209.0;Ecole primaire Michel Verièpe - Jules Ferry;Armbouts-Cappel;059;59016;Nord;Lille;50.97854336001889,2.352529288603783
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59512;ROUBAIX;0596541P;public;64.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50221.0;Ecole primaire publique Buffon;Roubaix;059;59512;Nord;Lille;50.699699142700176,3.180070531878246
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59544;SAINT SAULVE;0596633P;public;92.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50238.0;Ecole primaire publique Les Beaux Monts;Saint-Saulve;059;59544;Nord;Lille;50.36575581437191,3.5516906735233205
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62447;HESDIN;0620360E;public;66.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;50952.0;Ecole primaire;Hesdin-la-Forêt;062;62447;Pas-de-Calais;Lille;50.37133313686785,2.0402952726568495
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62318;ETAPLES;0620417S;public;85.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;50954.0;Ecole primaire Jean Macé;Etaples;062;62318;Pas-de-Calais;Lille;50.51762615591756,1.6359793412095396
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62041;ARRAS;0620448A;public;69.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;50957.0;Ecole élémentaire Voltaire Grands;Arras;062;62041;Pas-de-Calais;Lille;50.3020446034903,2.744030373886401
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62093;BEAULENCOURT;0620520D;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;50970.0;Ecole élémentaire RPI 94;Beaulencourt;062;62093;Pas-de-Calais;Lille;50.07526247668251,2.879329884170204
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62689;RANSART;0620721X;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51019.0;Ecole élémentaire RPI 99;Ransart;062;62689;Pas-de-Calais;Lille;50.20922965117598,2.687429667342057
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62048;AUCHEL;0620817B;public;77.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51039.0;Ecole élémentaire Edmond Michelet;Auchel;062;62048;Pas-de-Calais;Lille;50.505350239278116,2.470389440950906
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62083;BARLIN;0620971U;public;91.5;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51073.0;Ecole élémentaire Jules Ferry;Barlin;062;62083;Pas-de-Calais;Lille;50.4569566579881,2.619849632868351
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0621181X;public;64.9;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51131.0;Ecole élémentaire François Arago;Boulogne-sur-Mer;062;62160;Pas-de-Calais;Lille;50.73922067078127,1.6120006014994466
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62296;ENQUIN SUR BAILLONS;0621217L;public;95.9;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51142.0;Ecole élémentaire des Ballons RPI 70;Enquin-sur-Baillons;062;62296;Pas-de-Calais;Lille;50.57050512473923,1.837289553401833
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62729;RUMILLY;0621227X;public;88.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51145.0;Ecole élémentaire RPI 79;Rumilly;062;62729;Pas-de-Calais;Lille;50.57669408212981,2.0066002833352794
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62402;HALINGHEN;0621245S;public;98.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51150.0;Ecole élémentaire RPI 102;Halinghen;062;62402;Pas-de-Calais;Lille;50.60247041562021,1.6909195754861372
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62413;HARNES;0621369B;public;92.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51179.0;Ecole élémentaire Jean Jaurès;Harnes;062;62413;Pas-de-Calais;Lille;50.44703273774479,2.909270307299253
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62108;BERCK;0621564N;public;84.5;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51223.0;Ecole élémentaire Jacques Prévert;Berck;062;62108;Pas-de-Calais;Lille;50.40585437728108,1.5703545207772132
