Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
2016-2017;LILLE;059;NORD;0594195P;ECOLE PRIMAIRE DU BOURG;59317;HOUPLINES;public;105.4
2016-2017;LILLE;059;NORD;0594205A;ECOLE PRIMAIRE JEAN MABUSE;59392;MAUBEUGE;public;61.5
2016-2017;LILLE;059;NORD;0594206B;ECOLE PRIMAIRE LA PAIX;59410;MONS EN BAROEUL;public;88.0
2016-2017;LILLE;059;NORD;0594207C;ECOLE PRIMAIRE HENRI WALLON;59547;SAINT VAAST EN CAMBRESIS;public;83.0
2016-2017;LILLE;059;NORD;0594213J;ECOLE PRIMAIRE GEORGES PAMART;59480;QUERENAING;public;118.4
2016-2017;LILLE;059;NORD;0594214K;ECOLE PRIMAIRE PIERRE DE RONSARD NIVEAU 2;59512;ROUBAIX;public;61.0
2016-2017;LILLE;059;NORD;0594217N;ECOLE PRIMAIRE JEAN JAURES;59183;DUNKERQUE;public;89.2
2016-2017;LILLE;059;NORD;0594265R;ECOLE PRIMAIRE;59478;QUAEDYPRE;public;103.6
2016-2017;LILLE;059;NORD;0594273Z;ECOLE PRIMAIRE CAMILLE DESMOULINS;59419;MOUCHIN;public;116.3
2016-2017;LILLE;059;NORD;0594281H;ECOLE PRIMAIRE;59108;BRIASTRE;public;88.3
2016-2017;LILLE;059;NORD;0594282J;ECOLE PRIMAIRE JULES LEROUX;59074;BERTRY;public;86.4
2016-2017;LILLE;059;NORD;0594327H;ECOLE PRIMAIRE LEO LAGRANGE;59512;ROUBAIX;public;59.5
2016-2017;LILLE;059;NORD;0594376L;ECOLE PRIMAIRE PASTEUR;59670;DON;public;112.7
2016-2017;LILLE;059;NORD;0594379P;ECOLE PRIMAIRE;59223;LE FAVRIL;public;95.8
2016-2017;LILLE;059;NORD;0594466J;ECOLE PRIMAIRE;59075;BETHENCOURT;public;89.5
2016-2017;LILLE;059;NORD;0594472R;ECOLE PRIMAIRE JULIE DAUBIE;59210;ESQUELBECQ;public;107.8
2016-2017;LILLE;059;NORD;0594475U;ECOLE PRIMAIRE FERDINAND BUISSON;59295;HAZEBROUCK;public;103.9
2016-2017;LILLE;059;NORD;0594479Y;ECOLE PRIMAIRE FABRE D EGLANTINE;59401;METEREN;public;110.3
2016-2017;LILLE;059;NORD;0594487G;ECOLE PRIMAIRE SUZANNE LANOY;59571;SOLESMES;public;76.3
2016-2017;LILLE;059;NORD;0594551B;ECOLE PRIMAIRE RONSARD;59324;JEUMONT;public;76.5
2018-2019;LILLE;059;NORD;0591574R;ECOLE PRIMAIRE DESCARTES MONTESQUIEU;59350;LILLE;public;63.1
2018-2019;LILLE;059;NORD;0591641N;ECOLE PRIMAIRE D APPLICATION MICHELET;59350;LILLE;public;132.1
2018-2019;LILLE;059;NORD;0591673Y;ECOLE PRIMAIRE PASTEUR;59356;LOMPRET;public;125.2
2018-2019;LILLE;059;NORD;0591704G;ECOLE PRIMAIRE;59365;LOUVROIL;public;60.3
2018-2019;LILLE;059;NORD;0591716V;ECOLE PRIMAIRE KLEBER;59368;LA MADELEINE;public;90.1
2018-2019;LILLE;059;NORD;0591718X;ECOLE PRIMAIRE LOUISE DE BETTIGNIES;59368;LA MADELEINE;public;124.6
2018-2019;LILLE;059;NORD;0591739V;ECOLE PRIMAIRE LE GRAND MEAULNES;59375;MARCHIENNES;public;113.9
2018-2019;LILLE;059;NORD;0591754L;GROUPE SCOLAIRE LEONARD DE VINCI;59378;MARCQ EN BAROEUL;public;96.3
2018-2019;LILLE;059;NORD;0591837B;ECOLE PRIMAIRE;59394;MAUROIS;public;87.2
2018-2019;LILLE;059;NORD;0591846L;ECOLE PRIMAIRE JEAN MICHEL DUJARDIN;59399;MERRIS;public;121.2
2018-2019;LILLE;059;NORD;0591882A;ECOLE PRIMAIRE LES PETITS PRES VERTS;59413;MONTIGNY EN CAMBRESIS;public;101.7
2018-2019;LILLE;059;NORD;0591895P;ECOLE PRIMAIRE;59418;MORTAGNE DU NORD;public;91.6
2018-2019;LILLE;059;NORD;0591907C;ECOLE PRIMAIRE;59422;NAVES;public;95.6
2018-2019;LILLE;059;NORD;0591944T;ECOLE PRIMAIRE LA CLE DES CHAMPS;59440;NOYELLES SUR SELLE;public;98.9
